Time,User,Target
11,1080.0,1080.0
28,1237.8098,1083.0
39,1237.8098,1086.0
50,1237.8098,1089.0
65,1145.7583,1092.0
75,1145.7583,1095.0
89,968.8847,1098.0
105,968.8847,1101.0
115,849.36255,1104.0
131,849.36255,1107.0
143,849.36255,1110.0
157,802.6139,1113.0
171,802.6139,1116.0
182,790.5652,1119.0
196,790.5652,1122.0
210,808.87915,1125.0
223,808.87915,1128.0
239,808.87915,1131.0
249,894.6652,1134.0
265,894.6652,1137.0
278,911.0514,1140.0
292,911.0514,1143.0
308,1020.93475,1146.0
321,1020.93475,1149.0
338,1079.25,1152.0
349,1079.25,1155.0
365,1109.6125,1158.0
378,1109.6125,1161.0
392,1109.6125,1164.0
403,1057.0806,1167.0
421,1057.0806,1170.0
434,937.5583,1173.0
451,937.5583,1176.0
460,785.74585,1179.0
471,785.74585,1182.0
488,785.74585,1185.0
495,721.6472,1188.0
505,721.6472,1191.0
522,714.4181,1194.0
536,714.4181,1197.0
544,714.4181,1200.0
560,686.94727,1203.0
572,686.94727,1206.0
582,685.50146,1209.0
599,685.50146,1212.0
609,685.50146,1215.0
624,779.4806,1218.0
639,779.4806,1221.0
654,835.3861,1224.0
669,835.3861,1227.0
680,870.08606,1230.0
696,870.08606,1233.0
708,930.81116,1236.0
721,930.81116,1239.0
733,930.81116,1242.0
744,955.8722,1245.0
758,955.8722,1248.0
774,1007.4403,1251.0
788,1007.4403,1254.0
804,1010.332,1257.0
817,1010.332,1260.0
830,985.75275,1263.0
843,985.75275,1266.0
856,985.75275,1269.0
871,959.24585,1272.0
882,959.24585,1275.0
899,964.5472,1278.0
913,964.5472,1281.0
929,974.6681,1284.0
944,974.6681,1287.0
960,999.2472,1290.0
972,999.2472,1293.0
988,1052.2611,1296.0
1004,1052.2611,1299.0
1020,1089.8528,1302.0
1028,1089.8528,1305.0
1040,1089.8528,1308.0
1058,1146.2402,1311.0
1066,1146.2402,1314.0
1075,1146.2402,1317.0
1086,1182.868,1320.0
1118,1229.1348,1323.0
1131,1229.1348,1326.0
1140,1299.9805,1329.0
1151,1299.9805,1332.0
1161,1299.9805,1335.0
1179,1354.4402,1338.0
1195,1354.4402,1341.0
1215,1391.0681,1344.0
1227,1391.0681,1347.0
1238,1425.2861,1350.0
1247,1425.2861,1353.0
1265,1455.6486,1356.0
1279,1455.6486,1359.0
1299,1487.939,1362.0
1329,1488.9028,1365.0
1341,1488.9028,1368.0
1356,1488.9028,1371.0
1370,1498.5417,1374.0
1385,1498.5417,1377.0
1403,1493.2402,1380.0
1411,1493.2402,1383.0
1423,1499.9875,1386.0
1437,1499.9875,1389.0
1452,1517.3375,1392.0
1468,1517.3375,1395.0
1478,1517.3375,1398.0
1490,1572.7611,1401.0
1502,1572.7611,1404.0
1515,1606.0153,1407.0
1527,1606.0153,1410.0
1536,1606.0153,1413.0
1551,1598.3042,1416.0
1563,1598.3042,1419.0
1571,1598.3042,1422.0
1585,1583.8458,1425.0
1605,1572.2792,1428.0
1614,1572.2792,1431.0
1631,1572.2792,1434.0
1639,1575.1708,1437.0
1661,1575.1708,1440.0
1692,1565.05,1443.0
1705,1550.1097,1446.0
1714,1550.1097,1449.0
1724,1550.1097,1452.0
1749,1537.5791,1455.0
1765,1514.9277,1458.0
1774,1514.9277,1461.0
1788,1514.9277,1464.0
1802,1519.7472,1467.0
1817,1519.7472,1470.0
1831,1502.8792,1473.0
1841,1502.8792,1476.0
1860,1489.8667,1479.0
1872,1489.8667,1482.0
1884,1473.4805,1485.0
1900,1473.4805,1488.0
1911,1473.4805,1491.0
1928,1485.5292,1494.0
1940,1485.5292,1497.0
1951,1489.8667,1500.0
1968,1489.8667,1503.0
1981,1469.1431,1506.0
1999,1469.1431,1509.0
2010,1436.3708,1512.0
2027,1436.3708,1515.0
2041,1427.6958,1518.0
2055,1427.6958,1521.0
2068,1427.6958,1524.0
2082,1433.4791,1527.0
2098,1433.4791,1530.0
2115,1438.2986,1533.0
2131,1456.6125,1536.0
2149,1456.6125,1539.0
2166,1455.1666,1542.0
2175,1455.1666,1545.0
2191,1455.1666,1548.0
2212,1451.311,1551.0
2233,1465.2875,1554.0
2242,1465.2875,1557.0
2256,1472.5166,1560.0
2271,1472.5166,1563.0
2284,1472.5166,1566.0
2299,1473.4805,1569.0
2312,1473.4805,1572.0
2328,1476.8541,1575.0
2341,1476.8541,1578.0
2354,1499.9875,1581.0
2372,1499.9875,1584.0
2385,1501.4333,1587.0
2403,1501.4333,1590.0
2414,1520.7112,1593.0
2432,1520.7112,1596.0
2444,1526.4944,1599.0
2460,1526.4944,1602.0
2474,1529.3861,1605.0
2490,1529.3861,1608.0
2504,1541.4347,1611.0
2515,1541.4347,1614.0
2532,1541.4347,1617.0
2544,1540.4708,1620.0
2562,1540.4708,1623.0
2574,1540.9528,1626.0
2592,1540.9528,1629.0
2605,1547.7,1632.0
2620,1547.7,1635.0
2638,1549.1459,1638.0
2660,1551.0736,1641.0
2681,1551.0736,1644.0
2699,1545.2903,1647.0
2711,1545.2903,1650.0
2729,1534.6875,1653.0
2742,1534.6875,1656.0
2756,1535.1694,1659.0
2773,1535.1694,1662.0
2786,1536.1333,1665.0
2801,1536.1333,1668.0
2815,1541.9166,1671.0
2827,1541.9166,1674.0
2839,1541.9166,1677.0
2852,1545.2903,1680.0
2867,1545.2903,1683.0
2882,1550.1097,1686.0
2899,1550.1097,1689.0
2911,1558.7847,1692.0
2927,1558.7847,1695.0
2940,1561.1945,1698.0
2956,1561.1945,1701.0
2971,1554.4473,1704.0
2982,1554.4473,1707.0
2999,1547.218,1710.0
3013,1547.218,1713.0
3031,1552.0375,1716.0
3044,1552.0375,1719.0
3062,1553.9653,1722.0
3076,1553.9653,1725.0
3093,1561.6764,1728.0
3107,1561.6764,1731.0
3124,1569.8694,1734.0
3142,1569.8694,1737.0
3159,1573.725,1740.0
3178,1573.725,1743.0
3197,1579.5083,1746.0
3208,1579.5083,1749.0
3222,1590.1111,1752.0
3239,1590.1111,1755.0
3249,1600.7139,1758.0
3267,1600.7139,1761.0
3280,1612.2805,1764.0
3300,1612.2805,1767.0
3313,1622.8833,1770.0
3331,1622.8833,1773.0
3342,1643.6069,1776.0
3357,1643.6069,1779.0
3372,1654.6917,1782.0
3385,1654.6917,1785.0
3402,1654.6917,1788.0
3417,1657.5834,1791.0
3434,1668.6681,1794.0
3447,1668.6681,1797.0
3465,1677.825,1800.0
3475,1677.825,1803.0
3489,1677.825,1806.0
3502,1695.657,1809.0
3511,1695.657,1812.0
3527,1695.657,1815.0
3540,1709.6333,1818.0
3552,1709.6333,1821.0
3568,1714.9347,1824.0
3577,1714.9347,1827.0
3593,1723.1278,1830.0
3607,1723.1278,1833.0
3620,1729.875,1836.0
3636,1729.875,1839.0
3645,1729.875,1842.0
3664,1727.9473,1845.0
3689,1727.9473,1848.0
3702,1727.9473,1851.0
3711,1727.9473,1854.0
3728,1734.6945,1857.0
3746,1735.6583,1860.0
3767,1735.6583,1863.0
3779,1742.4055,1860.0
3796,1742.4055,1857.0
3811,1751.5625,1854.0
3830,1751.5625,1851.0
3844,1753.0083,1848.0
3859,1753.0083,1845.0
3874,1746.2611,1842.0
3889,1746.2611,1839.0
3902,1735.6583,1836.0
3917,1735.6583,1833.0
3932,1728.9111,1830.0
3943,1728.9111,1827.0
3961,1728.9111,1824.0
3973,1723.1278,1821.0
3990,1723.1278,1818.0
4004,1723.1278,1815.0
4012,1723.1278,1812.0
4030,1725.5375,1809.0
4040,1725.5375,1806.0
4049,1725.5375,1803.0
4066,1724.5736,1800.0
4077,1724.5736,1797.0
4091,1722.6459,1794.0
4106,1722.6459,1791.0
4120,1723.6097,1788.0
4129,1723.6097,1785.0
4150,1730.8389,1782.0
4164,1730.8389,1779.0
4179,1727.9473,1776.0
4195,1727.9473,1773.0
4204,1727.9473,1770.0
4213,1712.525,1767.0
4232,1712.525,1764.0
4241,1701.9222,1761.0
4251,1701.9222,1758.0
4265,1701.9222,1755.0
4277,1682.6444,1752.0
4289,1682.6444,1749.0
4303,1666.2583,1746.0
4315,1666.2583,1743.0
4328,1666.2583,1740.0
4340,1655.1736,1737.0
4354,1655.1736,1734.0
4371,1659.0292,1731.0
4382,1659.0292,1728.0
4401,1652.282,1725.0
4425,1652.282,1722.0
4433,1651.8,1719.0
4441,1651.8,1716.0
4456,1656.1375,1713.0
4469,1656.1375,1710.0
4478,1656.1375,1707.0
4494,1668.6681,1704.0
4507,1668.6681,1701.0
4515,1668.6681,1698.0
4531,1686.9819,1695.0
4544,1686.9819,1692.0
4558,1682.1625,1689.0
4573,1682.1625,1686.0
4583,1675.4153,1683.0
4599,1675.4153,1680.0
4613,1674.4514,1677.0
4627,1674.4514,1674.0
4643,1674.4514,1671.0
4657,1686.0181,1668.0
4676,1704.3319,1665.0
4686,1704.3319,1662.0
4713,1713.9708,1659.0
4730,1713.9708,1656.0
4743,1704.3319,1653.0
4761,1704.3319,1650.0
4773,1685.0542,1647.0
4785,1685.0542,1644.0
4803,1671.0778,1641.0
4812,1671.0778,1638.0
