Time,User,Target
21,1857.8646,1080.0
30,1858.1316,1860.0
39,1858.1316,1856.6527
49,1858.1316,1853.3054
58,1858.1316,1849.9583
69,1858.1316,1846.611
79,1858.1316,1843.2637
89,1857.8646,1839.9164
99,1858.1316,1836.5691
108,1858.1316,1833.2219
118,1858.1316,1829.8746
129,1858.1316,1826.5273
139,1858.1316,1823.18
148,1857.8646,1819.8328
159,1857.8646,1816.4855
169,1858.1316,1813.1383
178,1858.1316,1809.791
190,1858.1316,1806.4437
199,1857.8646,1803.0964
209,1857.8646,1799.7491
218,1857.8646,1796.402
228,1857.5977,1793.0547
238,1858.1316,1789.7074
248,1858.1316,1786.3601
259,1858.3984,1783.0128
270,1857.8646,1779.6656
278,1858.1316,1776.3184
289,1858.1316,1772.9711
298,1857.8646,1769.6238
308,1857.8646,1766.2765
318,1858.1316,1762.9292
329,1858.1316,1759.582
338,1857.8646,1756.2347
348,1858.1316,1752.8875
359,1857.8646,1749.5402
369,1858.1316,1746.1929
378,1858.1316,1742.8457
389,1858.1316,1739.4984
398,1857.8646,1736.1511
409,1858.1316,1732.8038
419,1858.1316,1729.4565
430,1857.8646,1726.1094
438,1858.1316,1722.7621
448,1857.5977,1719.4148
458,1857.8646,1716.0675
468,1857.8646,1712.7202
478,1858.1316,1709.373
488,1858.1316,1706.0258
499,1858.1316,1702.6785
509,1857.8646,1699.3312
518,1858.1316,1695.9839
529,1858.3984,1692.6367
539,1858.1316,1689.2894
549,1858.1316,1685.9421
559,1858.1316,1682.5948
568,1858.1316,1679.2476
579,1858.1316,1675.9004
589,1858.1316,1672.5531
598,1857.8646,1669.2058
609,1858.1316,1665.8585
618,1858.1316,1662.5112
629,1857.8646,1659.164
639,1858.1316,1655.8168
651,1857.8646,1652.4695
661,1857.8646,1649.1222
669,1857.8646,1645.7749
679,1857.8646,1642.4276
689,1858.1316,1639.0803
698,1858.3984,1635.7332
709,1857.8646,1632.3859
719,1858.1316,1629.0386
728,1858.1316,1625.6913
738,1858.1316,1622.344
748,1858.1316,1618.9968
758,1858.1316,1615.6495
768,1858.1316,1612.3022
779,1857.8646,1608.955
788,1857.8646,1605.6077
799,1857.8646,1602.2605
809,1857.8646,1598.9132
819,1858.1316,1595.5659
829,1857.8646,1592.2186
837,1858.1316,1588.8713
848,1857.8646,1585.5242
859,1858.1316,1582.1769
868,1858.1316,1578.8296
879,1858.1316,1575.4823
888,1858.1316,1572.135
898,1858.1316,1568.7878
908,1858.3984,1565.4406
918,1857.8646,1562.0933
929,1858.1316,1558.746
939,1857.8646,1555.3987
948,1858.3984,1552.0515
959,1857.8646,1548.7042
968,1858.1316,1545.3569
979,1857.8646,1542.0096
988,1858.1316,1538.6624
998,1858.1316,1535.3151
1008,1858.1316,1531.9679
1019,1858.1316,1528.6206
1029,1858.1316,1525.2733
1039,1858.1316,1521.926
1049,1858.1316,1518.5787
1059,1858.1316,1515.2314
1069,1858.3984,1511.8843
1079,1858.3984,1508.537
1088,1857.8646,1505.1897
1099,1857.8646,1501.8424
1107,1857.8646,1498.4951
1118,1858.1316,1495.148
1127,1858.1316,1491.8007
1138,1857.8646,1488.4534
1149,1857.8646,1485.1061
1159,1857.8646,1481.7588
1169,1858.1316,1478.4116
1179,1857.8646,1475.0643
1189,1858.1316,1471.717
1198,1857.8646,1468.3698
1208,1858.1316,1465.0225
1218,1858.1316,1461.6753
1228,1857.8646,1458.328
1238,1858.1316,1454.9807
1249,1858.1316,1451.6334
1259,1858.1316,1448.2861
1268,1858.1316,1444.939
1278,1858.1316,1441.5917
1288,1858.1316,1438.2444
1300,1858.1316,1434.8971
1309,1857.8646,1431.5498
1318,1858.1316,1428.2026
1328,1858.1316,1424.8553
1338,1857.8646,1421.508
1349,1857.8646,1418.1608
1360,1858.1316,1414.8135
1368,1858.1316,1411.4663
1378,1858.3984,1408.119
1388,1857.8646,1404.7717
1399,1858.1316,1401.4244
1408,1858.1316,1398.0771
1419,1858.1316,1394.73
1429,1858.1316,1391.3827
1439,1858.1316,1388.0354
1449,1858.1316,1384.6881
1458,1857.8646,1381.3408
1468,1858.1316,1377.9935
1478,1858.1316,1374.6464
1488,1858.1316,1371.2991
1498,1858.1316,1367.9518
1508,1858.3984,1364.6045
1519,1858.1316,1361.2572
1528,1858.1316,1357.9099
1539,1858.1316,1354.5627
1549,1857.8646,1351.2155
1558,1858.1316,1347.8682
1569,1858.1316,1344.5209
1578,1858.1316,1341.1736
1589,1858.1316,1337.8264
1598,1858.1316,1334.4791
1609,1858.1316,1331.1318
1619,1857.8646,1327.7845
1628,1858.1316,1324.4373
1639,1858.3984,1321.0901
1648,1857.8646,1317.7428
1659,1858.1316,1314.3955
1668,1858.1316,1311.0482
1678,1858.1316,1307.7009
1690,1857.8646,1304.3538
1699,1858.1316,1301.0063
1708,1858.3984,1297.6592
1720,1857.8646,1294.3119
1729,1858.1316,1290.9646
1738,1858.1316,1287.6174
1748,1858.1316,1284.27
1759,1858.1316,1280.9229
1769,1858.1316,1277.5756
1779,1858.1316,1274.2283
1789,1857.5977,1270.8811
1799,1858.1316,1267.5337
1808,1857.8646,1264.1865
1818,1858.1316,1260.8392
1829,1858.1316,1257.492
1839,1858.1316,1254.1448
1850,1858.1316,1250.7974
1858,1857.8646,1247.4502
1868,1858.1316,1244.1029
1879,1858.1316,1240.7556
1888,1858.1316,1237.4084
1899,1858.1316,1234.061
1909,1858.1316,1230.7139
1919,1858.3984,1227.3665
1929,1858.1316,1224.0193
1939,1858.1316,1220.6721
1950,1857.8646,1217.3247
1958,1858.3984,1213.9775
1969,1858.1316,1210.6301
1979,1858.1316,1207.283
1989,1858.1316,1203.9358
1999,1858.1316,1200.5884
2009,1857.8646,1197.2412
2018,1858.1316,1193.8938
2029,1858.1316,1190.5466
2038,1858.1316,1187.1995
2048,1858.1316,1183.852
2058,1857.8646,1180.5049
2069,1857.8646,1177.1575
2078,1858.1316,1173.8103
2089,1858.1316,1170.463
2099,1858.1316,1167.1157
2110,1857.8646,1163.7686
2119,1857.8646,1160.4211
2129,1858.1316,1157.074
2139,1858.1316,1153.7267
2149,1858.1316,1150.3794
2158,1858.1316,1147.0322
2170,1858.1316,1143.6848
2179,1858.1316,1140.3376
2187,1857.8646,1136.9904
2200,1858.1316,1133.6431
2208,1858.1316,1130.2959
2219,1858.1316,1126.9485
2229,1858.3984,1123.6013
2240,1857.8646,1120.254
2250,1858.3984,1116.9067
2258,1857.8646,1113.5596
2270,1858.3984,1110.2122
2279,1857.8646,1106.865
2288,1858.3984,1103.5177
2299,1858.1316,1100.1704
2308,1857.8646,1096.8232
2319,1857.8646,1093.4758
2328,1857.8646,1090.1287
2338,1858.1316,1086.7812
